Teste 12C - Cap Dinamico por Setor
Modo sombra; usa somente meses anteriores para classificar o setor de cada mes.

Cenario: baseline_consolidado | Sem ajuste por regime setorial.
2026-01: bucket=alta | acoes=20 | ret_def=9.64% | IBOV=12.56% | alfa_def=-2.92%
2026-02: bucket=alta | acoes=21 | ret_def=3.70% | IBOV=4.09% | alfa_def=-0.39%
2026-03: bucket=alta | acoes=17 | ret_def=-3.07% | IBOV=-0.70% | alfa_def=-2.37%
2026-04: bucket=alta | acoes=14 | ret_def=-3.15% | IBOV=-0.08% | alfa_def=-3.07%
2026-05: bucket=alta | acoes=12 | ret_def=-9.94% | IBOV=-7.22% | alfa_def=-2.72%
2026-06: bucket=alta | acoes=13 | ret_def=0.93% | IBOV=-0.34% | alfa_def=1.26%

Resumo acumulado:
  baseline_consolidado: retorno=28.98% | IBOV=31.22% | alfa=-2.24% | delta_vs_baseline=0.00%
  setor_score_medio: retorno=29.57% | IBOV=31.22% | alfa=-1.66% | delta_vs_baseline=0.59%
  cap_dinamico_setor: retorno=31.18% | IBOV=31.22% | alfa=-0.04% | delta_vs_baseline=2.21%
Validacao retorno: maior diferenca peso x retorno = 0.0000000000
