Teste 42 - Falso Alerta de Queda com Janela 4M
Regra: comparar detectores que usam 4M apenas quando a queda prevista parece falso alerta/rotacao de qualidade.
Arquivo gerado: C:\Users\amade\Documents\Codex\2026-06-26\https-chatgpt-com-c-687d279e-28e0\carteira_mensal\output\excel\shadow_teste42_falso_alerta_queda_4m.xlsx

Resumo geral:
                 cenario_t42  retorno_modelo  retorno_ibov  alfa_vs_ibov  taxa_acerto  drawdown  meses_usou_4m  delta_alfa_vs_base
T42D_FALSO_ALERTA_BALANCEADO 2024-04          queda_forte         queda_leve      -0.034109            -0.008394     -0.025714 sinais=3/4; queda_leve=False; nota_media_55=True; n_ativos_8=True; beta_ate_1_20=True
T42D_FALSO_ALERTA_BALANCEADO 2024-05          queda_forte        queda_forte      -0.029374            -0.039521      0.010148 sinais=3/4; queda_leve=False; nota_media_55=True; n_ativos_8=True; beta_ate_1_20=True
T42D_FALSO_ALERTA_BALANCEADO 2024-06          queda_forte               alta       0.025855             0.015365      0.010490 sinais=3/4; queda_leve=False; nota_media_55=True; n_ativos_8=True; beta_ate_1_20=True
T42D_FALSO_ALERTA_BALANCEADO 2024-07           queda_leve               alta       0.051425             0.023525      0.027899  sinais=4/4; queda_leve=True; nota_media_55=True; n_ativos_8=True; beta_ate_1_20=True
T42D_FALSO_ALERTA_BALANCEADO 2024-09           queda_leve         queda_leve      -0.010824            -0.023448      0.012624  sinais=4/4; queda_leve=True; nota_media_55=True; n_ativos_8=True; beta_ate_1_20=True
T42D_FALSO_ALERTA_BALANCEADO 2024-10           queda_leve         queda_leve       0.013516            -0.020997      0.034513  sinais=4/4; queda_leve=True; nota_media_55=True; n_ativos_8=True; beta_ate_1_20=True
T42D_FALSO_ALERTA_BALANCEADO 2024-11           queda_leve         queda_leve      -0.010426            -0.019146      0.008720  sinais=4/4; queda_leve=True; nota_media_55=True; n_ativos_8=True; beta_ate_1_20=True
T42D_FALSO_ALERTA_BALANCEADO 2024-12           queda_leve        queda_forte      -0.057539            -0.039549     -0.017989  sinais=4/4; queda_leve=True; nota_media_55=True; n_ativos_8=True; beta_ate_1_20=True

Validacao: OK
