Teste 16 - Diagnostico de Regime com Camada Risk-On/Risk-Off
Modo sombra; producao intacta; compara 13B contra beta mediano, MM50/MM100 e confirmacoes hibridas.
Sinais risk-on/risk-off por mes:
  2024-10: bucket=alta | IBOV=-2.10% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=queda; 13B conservador: alta mantida por falta de confirmacao de virada
  2024-11: bucket=queda_leve | IBOV=-1.91% | 13B rebaixado por confirmacao dupla risk-off: beta=1.0531; pct_MM50>MM100=70.1%; antes=alta
  2024-12: bucket=queda_forte | IBOV=-3.95% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=queda; 13B conservador: tendencia favoravel <35% (26.9%)
  2025-01: bucket=alta | IBOV=5.00% | 13B elevado por confirmacao dupla risk-on: beta=1.1661; pct_MM50>MM100=59.7%; antes=queda_forte
  2025-02: bucket=alta | IBOV=-2.52% | 13B elevado por confirmacao dupla risk-on: beta=1.2420; pct_MM50>MM100=51.9%; antes=queda_forte
  2025-03: bucket=alta | IBOV=5.86% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2025-04: bucket=alta | IBOV=2.99% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2025-05: bucket=alta | IBOV=1.40% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2025-06: bucket=alta | IBOV=1.51% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2025-07: bucket=alta | IBOV=-4.64% | 13B mantido; confirmacao insuficiente para troca. beta=queda; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2025-08: bucket=alta | IBOV=6.78% | 13B mantido; confirmacao insuficiente para troca. beta=queda; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2025-09: bucket=alta | IBOV=3.62% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2025-10: bucket=alta | IBOV=2.76% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2025-11: bucket=alta | IBOV=5.73% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2025-12: bucket=alta | IBOV=1.59% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: alta mantida por falta de confirmacao de virada
  2026-01: bucket=alta | IBOV=12.56% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: preserva alta estrutural ampla sem sobrecompra extrema
  2026-02: bucket=alta | IBOV=4.09% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=alta; 13B conservador: preserva rali amplo; amplitude >=80% e IBOV 1m forte
  2026-03: bucket=queda_leve | IBOV=-0.70% | 13B mantido; confirmacao insuficiente para troca. beta=alta; mm50=queda; 13B conservador: sobrecompra com amplitude 1m abaixo de 80% (69.2%)
  2026-04: bucket=queda_leve | IBOV=-0.08% | 13B mantido; confirmacao insuficiente para troca. beta=queda; mm50=queda; 13B conservador: amplitude <45% (34.6%) e IBOV 1m negativo (-0.7%)
